Product	Hoeveelheid	Eenheid	Kcal	Eiwit	Koolhydraten	Vet
biogarde (halfvol)	100	g	49,50	4,3	4,7	1,5
bisc & bounty	100	g	539,30	4,9	55,9	32,9
bisc & mars	100	g	523,30	5,3	61,4	28,5
bisc & snickers	100	g	535,70	7,8	53	32,5
bisc & twix	100	g	518,20	5,4	61,6	27,8
biscuitje (groot)	100	g	432,90	8,8	76,7	10,1
bitterbal	100	g	232,80	10,7	16,9	13,6
bizonsteak	100	g	101,00	23	0	1
bladerdeeg	100	g	390,00	7	41	22
bleekselderij	100	g	24,00	2	4	0
blinde vink	100	g	189,10	25,6	1,2	9,1
bloem	100	g	333,00	11	70	1
bloemkool	100	g	20,00	2	3	0
blue	100	g	352,60	21,1	0	29,8
bluefort	100	g	354,00	20	1	30
boerenkool	100	g	41,00	4	4	1
boerenkoolstamppot	100	g	88,70	2,7	10,7	3,9
boerenpate	100	g	307,60	15	2,5	26,4
bokkepoot	100	g	446,00	16	55	18
bokking (gerookt)	100	g	236,00	23	0	16
bokking (gestoomd)	100	g	232,60	21,2	0,5	16,2
bonbon	100	g	409,60	4,5	62,8	15,6
bonbon (met likeur)	100	g	350,90	3	42,2	18,9
bonen	100	g	265,50	20	43	1,5
borrelnootjes	100	g	519,00	15	45	31
borstplaat (room)	100	g	328,90	0,8	72,2	4,1
borstplaat (water)	100	g	380,00	0	95	0
bosbessen	100	g	35,30	0,3	7,4	0,5
bosbessen op siroop	100	g	128,00	1	31	0
bossche bol	100	g	348,60	4,5	21	27,4
boter	10	g	74,60	0,1	0,1	8,2
boter (gezouten)	100	g	761,40	0,9	0	84,2
boterhamworst	100	g	334,00	12	4	30
boterkoek	100	g	515,00	4	55	31
boterletter	100	g	462,50	7,6	43	28,9
boter (halfvol)	100	g	390,90	6,3	0,3	40,5
boter (ongezouten)	100	g	763,70	4,2	1,1	82,5
boudoir	100	g	395,30	7,4	84	3,3
bounty	1	stuk	243,00	3	24	15
boursin	100	g	417,50	10	1	41,5
braadharing	100	g	219,00	17	4	15
braadworst (varken)	100	g	308,40	22,2	0,9	24
braambessen	100	g	38,10	1,2	7,2	0,5
brado	100	g	236,00	23	0	16
bramen	100	g	37,00	1	6	1
bran buds	100	g	99,90	3,6	18,9	1,1
bressot	100	g	332,30	8,5	1	32,7
brie (50+)	100	g	317,00	22	1	25
brie (60+)	100	g	365,00	17	0	33
brinta	100	g	366,50	12	74	2,5
brinta fruitvit	100	g	324,70	9,2	68,6	1,5
broccoli	100	g	20,00	2	3	0
brood (volkoren)	100	g	208,00	5,7	40	2,8
brood (wit)	100	g	226,00	6,5	50	0
broodje (bruin)	100	g	249,90	9,5	45,1	3,5
broodje (gemiddeld)	100	g	240,50	8,7	45,8	2,5
broodje (luxe wit)	100	g	294,60	9,3	53,1	5
broodje (meergranen)	100	g	211,80	8,4	40,5	1,8
broodje (muesli)	100	g	273,10	8,1	52,3	3,5
broodje (tarwe)	100	g	249,90	9,5	45,1	3,5
broodje (volkoren)	100	g	211,80	8,4	40,5	1,8
broodje (wit)	100	g	259,30	8,1	52	2,1
brood (gemiddeld)	100	g	240,50	8,7	45,8	2,5
bruinbrood	100	g	249,90	9,5	45,1	3,5
bruine bonensoep	100	g	46,70	3,5	7,5	0,3
bulgaarse yoghurt (fruit)	100	g	124,00	5	17	4
bulgaarse yoghurt (mager)	100	g	48,50	5	6	0,5
bulgaarse yoghurt (vol)	100	g	89,50	4,8	7	4,7
cake	100	g	446,20	6,9	44,8	26,6
camembert (45+)	100	g	284,00	25	1	20
camembert (50+)	100	g	314,00	18	2	26
candybar	100	g	478,00	5,9	63,2	22,4
cantadou	100	g	328,70	6	3,5	32,3
capellini (Soubry)	100	g	349,50	13	71	1,5
carre confiture	100	g	400,80	3,4	50	20,8
cashew-noten	100	g	617,00	18	26	49
casselerrib	100	g	183,00	18	3	11
cassoulet (William Saurin)	100	g	109,00	7,6	8,4	5
cervela	100	g	387,00	18	0	35
champignons	100	g	16,00	3	1	0
chavroux	100	g	173,00	10	4	13
cheddar	100	g	401,00	26	0	33
